Gene.ID,Gene.Name,Undifferentiated ,Differentiated,FDR,AveExpr,P value,SRR3133925_nodiff_rep1,SRR3133926_nodiff_rep2,SRR3133927_nodiff_rep3,SRR3133928_diff_rep1,SRR3133929_diff_rep2,SRR3133930_diff_rep3,SRR3133925_nodiff_rep1 CPM,SRR3133926_nodiff_rep2 CPM,SRR3133927_nodiff_rep3 CPM,SRR3133928_diff_rep1 CPM,SRR3133929_diff_rep2 CPM,SRR3133930_diff_rep3 CPM
ENSG00000131848,ZSCAN5A,0,-0.103607769667615,0.600105849218083,2.3316335326187,0.530981312772088,117,118,89,78,123,118,5.361,5.705,4.719,3.872,5.268,5.370
ENSG00000130590,SAMD10,0,0.124432521136847,0.600257077845028,4.37229040764734,0.531156748495323,450,437,339,554,485,385,20.620,21.126,17.976,27.498,20.771,17.522
ENSG00000061938,TNK2,0,0.0597438930856731,0.60034104513339,6.04961188551919,0.531272682173869,1445,1497,1097,1311,1581,1508,66.212,72.371,58.169,65.072,67.708,68.632
ENSG00000114520,SNX4,0,0.0668103938987095,0.600490902290548,5.98826684622902,0.531488584322765,1294,1194,1347,1159,1551,1536,59.293,57.723,71.425,57.527,66.423,69.906
ENSG00000151743,AMN1,0,-0.0979281620857981,0.600490902290548,2.47460795685507,0.531460692762132,129,105,121,100,116,133,5.911,5.076,6.416,4.964,4.968,6.053
ENSG00000130733,YIPF2,0,0.155526401033091,0.600674129528044,4.56281032170697,0.531692412572535,506,468,404,723,502,439,23.186,22.625,21.422,35.886,21.499,19.980
ENSG00000160318,CLDND2,0,0.23494555957125,0.601130483722365,-0.675548992557302,0.532138046096809,11,13,10,19,11,14,0.504,0.628,0.530,0.943,0.471,0.637
ENSG00000063046,EIF4B,0,-0.0470445753547644,0.601452294454843,8.37282491836331,0.532464631831521,7297,6900,6616,6594,7662,6935,334.359,333.574,350.814,327.295,328.132,315.625
ENSG00000089876,DHX32,0,-0.0718086174514454,0.601565089161396,4.95024871278571,0.532606206194421,664,624,668,620,744,599,30.425,30.167,35.421,30.774,31.862,27.262
ENSG00000121101,TEX14,0,-0.233297615045311,0.601887630290204,-0.47249353733243,0.532933513422006,13,20,15,8,20,16,0.596,0.967,0.795,0.397,0.857,0.728
ENSG00000183305,MAGEA2B,0,0.197785138113153,0.602072764162115,-1.24018747534389,0.533139190401251,9,7,7,9,10,9,0.412,0.338,0.371,0.447,0.428,0.410
ENSG00000169612,RAMAC,0,-0.0883770368352828,0.602132036950413,2.98616924318505,0.533233433554561,170,182,153,132,172,199,7.790,8.799,8.113,6.552,7.366,9.057
ENSG00000168297,PXK,0,0.0599507882556418,0.602481323606378,3.52751606789812,0.533584534242514,243,232,221,232,273,259,11.135,11.216,11.719,11.515,11.691,11.788
ENSG00000241837,ATP5PO,0,0.060578658890547,0.602625399787945,4.75494726900926,0.533753925526466,604,498,534,524,621,649,27.676,24.075,28.315,26.009,26.595,29.537
ENSG00000122406,RPL5,0,0.0520226074284142,0.602653349011289,9.35072308723678,0.533860102403937,14117,12664,12848,13610,15035,14500,646.860,612.230,681.267,675.536,643.888,659.923
ENSG00000102780,DGKH,0,-0.0778883404166857,0.602653349011289,4.97924376580526,0.533862266315548,734,655,619,486,787,758,33.633,31.665,32.823,24.123,33.704,34.498
ENSG00000048392,RRM2B,0,-0.0983505505064128,0.603027367957837,5.84611635809668,0.53423541093352,1362,1196,1120,1364,1207,1059,62.409,57.820,59.388,67.703,51.691,48.197
ENSG00000146007,ZMAT2,0,-0.0727622779206616,0.603663884673186,6.56076439220414,0.53487474041851,2164,1924,1895,2069,1933,1971,99.157,93.014,100.483,102.695,82.783,89.704
ENSG00000151135,TMEM263,0,0.107896719506027,0.603663884673186,5.55486193619258,0.534883041225332,984,867,942,1208,1067,914,45.088,41.914,49.950,59.959,45.695,41.598
ENSG00000168067,MAP4K2,0,0.0511470867291619,0.604393401560171,5.65047999429548,0.535599937163576,1108,1087,866,1013,1205,1107,50.770,52.550,45.920,50.281,51.605,50.382
ENSG00000027001,MIPEP,0,0.0665817555889339,0.604393401560171,3.6875811305267,0.53561326480842,283,251,242,277,303,276,12.967,12.134,12.832,13.749,12.976,12.561
ENSG00000169203,NPIPB12,0,0.178566998122051,0.604415587264427,0.00539913223077333,0.535674840862648,23,14,21,20,23,25,1.054,0.677,1.114,0.993,0.985,1.138
ENSG00000182986,ZNF320,0,-0.157460300579194,0.604592598210598,3.50446669123804,0.535873647554068,267,292,195,137,295,302,12.234,14.116,10.340,6.800,12.634,13.745
ENSG00000152767,FARP1,0,0.0817179187340811,0.604680845470366,6.79191952111405,0.535993797975188,2338,2298,2025,1770,3000,2816,107.130,111.095,107.376,87.854,128.478,128.162
ENSG00000112130,RNF8,0,-0.0689745000230602,0.605736059072452,4.96407578250072,0.537066674662879,685,616,672,643,712,624,31.388,29.780,35.633,31.915,30.492,28.399
ENSG00000171307,ZDHHC16,0,0.0600621668345287,0.605736059072452,5.77677271123693,0.536990483885886,1195,1158,970,1200,1222,1211,54.757,55.982,51.434,59.562,52.333,55.115
ENSG00000010219,DYRK4,0,0.0855598086897422,0.605736059072452,3.63229231191623,0.537083262568591,258,244,238,290,290,251,11.822,11.796,12.620,14.394,12.420,11.423
ENSG00000185245,GP1BA,0,0.172816056046486,0.605736059072452,0.595570637179506,0.537139180815495,29,27,31,24,34,48,1.329,1.305,1.644,1.191,1.456,2.185
